172.18.0.1 - - [21/Mar/2021:09:41:55 +0000] "\x16\x03\x01\x01\xFC\x01\x00\x01\xF8\x03\x03\xAFP\xF1l\x92\xFB\xD5ng\x9A\x05\xDF\x8C\xAE\xB5\xC4\xE9\xEF\xBC\xDB\xAA\xAC2\x91\xED\xA4\x12\xA5&\xEFv- \x09YJ\xB6HC\x18\x86\xED\x87\x8Ck\xF7\xA5Z\x1E\x07\xF6\xB2\x8D7\xE3\x15\xA6\x937I\xEE\x14\x03y\xA6\x00$\x13\x01\x13\x03\x13\x02\xC0+\xC0/\xCC\xA9\xCC\xA8\xC0,\xC00\xC0" 400 157 "-" "-"
172.23.0.1 - - [21/Mar/2021:09:59:34 +0000] "\x16\x03\x01\x01\xFC\x01\x00\x01\xF8\x03\x03\x8C\xEAzd\xE3|\xD3\x85\xE3lPc\x9A\xC4\x04\xE6`\x92\x16\xD5^aU\xDAd\xFF\xEBj-\xE9\x12\xFE \xE6\xD0J\xAE\x91" 400 157 "-" "-"
172.23.0.1 - - [21/Mar/2021:09:59:37 +0000] "\x16\x03\x01\x01\xFC\x01\x00\x01\xF8\x03\x03F\xBF\x04^\x19" 400 157 "-" "-"
172.23.0.1 - - [21/Mar/2021:09:59:39 +0000] "\x16\x03\x01\x01\xFC\x01\x00\x01\xF8\x03\x03\xCB\xE9\xDD0{\xA64\xCF\xEE\xE9\xA1r\xC5\x92\x81\xD1\xF8<\xC4\xA3\x1A\xAFr\xB5L\xD3E\x03\x91\x07'\xC3 %\x0E\xEB\x1B\x96<p?-\x16\xB7)\xEE\x80\x01\xD2\xCA\x06\xCAm\x876\xA8]\xA9|\xC1\xC4U\x5C\x83F\x00$\x13\x01\x13\x03\x13\x02\xC0+\xC0/\xCC\xA9\xCC\xA8\xC0,\xC00\xC0" 400 157 "-" "-"
172.23.0.1 - - [21/Mar/2021:10:01:38 +0000] "\x16\x03\x01\x01\xFC\x01\x00\x01\xF8\x03\x03\xD7\xD2\xBA\x130jk\xBB\xB0\xE3\x09\x93\xE7\xAA)\xAF\xCEE\x0Bz;\xC3\x13\x16\x0B\xC9\xEE\xAC\x82ui\xD7 1\x03\xBD\xD0\x00j\xD5\x90@#,\xBF\xA6Py(\xF6;F\xC0\xFB\xBE\xD1\xE7\xF2\xBB\xA9U\xD7L\xB5\x8C\x00$\x13\x01\x13\x03\x13\x02\xC0+\xC0/\xCC\xA9\xCC\xA8\xC0,\xC00\xC0" 400 157 "-" "-"
172.23.0.1 - - [21/Mar/2021:10:01:42 +0000] "GET / HTTP/1.1" 200 850 "-" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:86.0) Gecko/20100101 Firefox/86.0"
172.23.0.1 - - [21/Mar/2021:10:01:42 +0000] "GET /favicon.ico HTTP/1.1" 404 31 "http://localhost:8084/" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:86.0) Gecko/20100101 Firefox/86.0"
172.23.0.1 - - [21/Mar/2021:10:07:25 +0000] "GET / HTTP/1.1" 200 850 "-" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:86.0) Gecko/20100101 Firefox/86.0"
172.23.0.1 - - [21/Mar/2021:10:07:26 +0000] "GET / HTTP/1.1" 200 850 "-" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:86.0) Gecko/20100101 Firefox/86.0"
172.23.0.1 - - [21/Mar/2021:10:07:27 +0000] "GET / HTTP/1.1" 200 850 "-" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:86.0) Gecko/20100101 Firefox/86.0"
172.24.0.1 - - [21/Mar/2021:10:13:43 +0000] "GET / HTTP/1.1" 200 866 "-" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:86.0) Gecko/20100101 Firefox/86.0"
172.24.0.1 - - [21/Mar/2021:10:13:44 +0000] "GET / HTTP/1.1" 200 866 "-" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:86.0) Gecko/20100101 Firefox/86.0"
172.24.0.1 - - [21/Mar/2021:10:14:02 +0000] "GET / HTTP/1.1" 200 866 "-" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:86.0) Gecko/20100101 Firefox/86.0"
172.25.0.1 - - [21/Mar/2021:10:15:31 +0000] "GET / HTTP/1.1" 200 1183 "-" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:86.0) Gecko/20100101 Firefox/86.0"
172.26.0.1 - - [21/Mar/2021:10:22:46 +0000] "GET / HTTP/1.1" 200 930 "-" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:86.0) Gecko/20100101 Firefox/86.0"
172.27.0.1 - - [21/Mar/2021:10:25:06 +0000] "GET / HTTP/1.1" 200 260 "-" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:86.0) Gecko/20100101 Firefox/86.0"
172.27.0.1 - - [21/Mar/2021:10:25:06 +0000] "GET /public/scripts/jquery.js HTTP/1.1" 200 86659 "http://localhost:8084/" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:86.0) Gecko/20100101 Firefox/86.0"
172.27.0.1 - - [21/Mar/2021:10:25:06 +0000] "GET /public/scripts/form.js HTTP/1.1" 200 486 "http://localhost:8084/" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:86.0) Gecko/20100101 Firefox/86.0"
172.28.0.1 - - [21/Mar/2021:10:59:46 +0000] "GET / HTTP/1.1" 200 260 "-" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:86.0) Gecko/20100101 Firefox/86.0"
172.28.0.1 - - [21/Mar/2021:10:59:46 +0000] "GET /public/scripts/jquery.js HTTP/1.1" 304 0 "http://localhost:8084/" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:86.0) Gecko/20100101 Firefox/86.0"
172.28.0.1 - - [21/Mar/2021:10:59:46 +0000] "GET /public/scripts/form.js HTTP/1.1" 304 0 "http://localhost:8084/" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:86.0) Gecko/20100101 Firefox/86.0"
172.28.0.1 - - [21/Mar/2021:10:59:47 +0000] "GET / HTTP/1.1" 200 260 "-" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:86.0) Gecko/20100101 Firefox/86.0"
172.28.0.1 - - [21/Mar/2021:10:59:47 +0000] "GET /public/scripts/jquery.js HTTP/1.1" 304 0 "http://localhost:8084/" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:86.0) Gecko/20100101 Firefox/86.0"
172.28.0.1 - - [21/Mar/2021:10:59:47 +0000] "GET /public/scripts/form.js HTTP/1.1" 304 0 "http://localhost:8084/" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:86.0) Gecko/20100101 Firefox/86.0"
172.28.0.1 - - [21/Mar/2021:11:16:13 +0000] "GET / HTTP/1.1" 200 1477 "-" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:86.0) Gecko/20100101 Firefox/86.0"
172.28.0.1 - - [21/Mar/2021:11:16:13 +0000] "GET /public/bootstrap/bootstrap.css HTTP/1.1" 404 31 "http://localhost:8084/" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:86.0) Gecko/20100101 Firefox/86.0"
172.28.0.1 - - [21/Mar/2021:11:16:13 +0000] "GET /public/scripts/form.js HTTP/1.1" 304 0 "http://localhost:8084/" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:86.0) Gecko/20100101 Firefox/86.0"
172.28.0.1 - - [21/Mar/2021:11:16:13 +0000] "GET /public/scripts/jquery.js HTTP/1.1" 304 0 "http://localhost:8084/" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:86.0) Gecko/20100101 Firefox/86.0"
172.28.0.1 - - [21/Mar/2021:11:16:13 +0000] "GET /public/bootstrap/bootstrap-grid.css HTTP/1.1" 404 31 "http://localhost:8084/" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:86.0) Gecko/20100101 Firefox/86.0"
172.28.0.1 - - [21/Mar/2021:11:16:25 +0000] "GET / HTTP/1.1" 200 1477 "-" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:86.0) Gecko/20100101 Firefox/86.0"
172.28.0.1 - - [21/Mar/2021:11:16:25 +0000] "GET /public/bootstrap/bootstrap.css HTTP/1.1" 404 31 "http://localhost:8084/" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:86.0) Gecko/20100101 Firefox/86.0"
172.28.0.1 - - [21/Mar/2021:11:16:25 +0000] "GET /public/bootstrap/bootstrap-grid.css HTTP/1.1" 404 31 "http://localhost:8084/" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:86.0) Gecko/20100101 Firefox/86.0"
172.28.0.1 - - [21/Mar/2021:11:16:25 +0000] "GET /public/scripts/jquery.js HTTP/1.1" 304 0 "http://localhost:8084/" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:86.0) Gecko/20100101 Firefox/86.0"
172.28.0.1 - - [21/Mar/2021:11:16:25 +0000] "GET /public/scripts/form.js HTTP/1.1" 304 0 "http://localhost:8084/" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:86.0) Gecko/20100101 Firefox/86.0"
172.29.0.1 - - [21/Mar/2021:11:17:34 +0000] "GET / HTTP/1.1" 200 1477 "-" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:86.0) Gecko/20100101 Firefox/86.0"
172.29.0.1 - - [21/Mar/2021:11:17:34 +0000] "GET /public/bootstrap/bootstrap.css HTTP/1.1" 404 31 "http://localhost:8084/" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:86.0) Gecko/20100101 Firefox/86.0"
172.29.0.1 - - [21/Mar/2021:11:17:34 +0000] "GET /public/scripts/form.js HTTP/1.1" 304 0 "http://localhost:8084/" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:86.0) Gecko/20100101 Firefox/86.0"
172.29.0.1 - - [21/Mar/2021:11:17:34 +0000] "GET /public/scripts/jquery.js HTTP/1.1" 304 0 "http://localhost:8084/" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:86.0) Gecko/20100101 Firefox/86.0"
